	Achatina_immaculata	Biomphalaria_glabrata	Biomphalaria_straminea	Chrysomallon_squamiferum	Crassostrea_gigas	Cyclina_sinensis	Haliotis_rubra	Magallana_hongkongensis	Marisa_cornuarietis	Octopus_sinensis	Pinctada_fucata_martensii	Pomacea_canaliculata	Scapharca_Anadara_broughtonii
Achatina_immaculata	10736	9430	9676	7514	8256	8193	8931	8330	8591	7626	7328	8651	8052
Biomphalaria_glabrata	9430	15197	14413	8381	9222	9201	10019	9311	9483	8434	8087	9642	8992
Biomphalaria_straminea	9676	14413	17860	8533	9321	9355	10285	9493	9698	8455	8181	9743	9120
Chrysomallon_squamiferum	7514	8381	8533	10337	8620	8503	9462	8654	8604	7720	7458	8727	8395
Crassostrea_gigas	8256	9222	9321	8620	16360	10462	10559	15552	9532	8689	10082	9744	10723
Cyclina_sinensis	8193	9201	9355	8503	10462	12955	10441	10658	9431	8531	9107	9589	10066
Haliotis_rubra	8931	10019	10285	9462	10559	10441	15143	10863	10443	9016	9320	10475	10374
Magallana_hongkongensis	8330	9311	9493	8654	15552	10658	10863	18493	9566	8642	10489	9690	10896
Marisa_cornuarietis	8591	9483	9698	8604	9532	9431	10443	9566	13298	8514	8302	12292	9272
Octopus_sinensis	7626	8434	8455	7720	8689	8531	9016	8642	8514	9970	7429	8705	8416
Pinctada_fucata_martensii	7328	8087	8181	7458	10082	9107	9320	10489	8302	7429	12620	8395	9433
Pomacea_canaliculata	8651	9642	9743	8727	9744	9589	10475	9690	12292	8705	8395	13137	9445
Scapharca_Anadara_broughtonii	8052	8992	9120	8395	10723	10066	10374	10896	9272	8416	9433	9445	12662
